"code_ward";"name";"code_district"
"00001";"Phường Phúc Xá";"001"
"00004";"Phường Trúc Bạch";"001"
"00006";"Phường Vĩnh Phúc";"001"
"00007";"Phường Cống Vị";"001"
"00008";"Phường Liễu Giai";"001"
"00010";"Phường Nguyễn Trung Trực";"001"
"00013";"Phường Quán Thánh";"001"
"00016";"Phường Ngọc Hà";"001"
"00019";"Phường Điện Biên";"001"
"00022";"Phường Đội Cấn";"001"
"00025";"Phường Ngọc Khánh";"001"
"00028";"Phường Kim Mã";"001"
"00031";"Phường Giảng Võ";"001"
"00034";"Phường Thành Công";"001"
"00037";"Phường Phúc Tân";"002"
"00040";"Phường Đồng Xuân";"002"
"00043";"Phường Hàng Mã";"002"
"00046";"Phường Hàng Buồm";"002"
"00049";"Phường Hàng Đào";"002"
"00052";"Phường Hàng Bồ";"002"
"00055";"Phường Cửa Đông";"002"
"00058";"Phường Lý Thái Tổ";"002"
"00061";"Phường Hàng Bạc";"002"
"00064";"Phường Hàng Gai";"002"
"00067";"Phường Chương Dương";"002"
"00070";"Phường Hàng Trống";"002"
"00073";"Phường Cửa Nam";"002"
"00076";"Phường Hàng Bông";"002"
"00079";"Phường Tràng Tiền";"002"
"00082";"Phường Trần Hưng Đạo";"002"
"00085";"Phường Phan Chu Trinh";"002"
"00088";"Phường Hàng Bài";"002"
"00091";"Phường Phú Thượng";"003"
"00094";"Phường Nhật Tân";"003"
"00097";"Phường Tứ Liên";"003"
"00100";"Phường Quảng An";"003"
"00103";"Phường Xuân La";"003"
"00106";"Phường Yên Phụ";"003"
"00109";"Phường Bưởi";"003"
"00112";"Phường Thụy Khuê";"003"
"00115";"Phường Thượng Thanh";"004"
"00118";"Phường Ngọc Thụy";"004"
"00121";"Phường Giang Biên";"004"
"00124";"Phường Đức Giang";"004"
"00127";"Phường Việt Hưng";"004"
"00130";"Phường Gia Thụy";"004"
"00133";"Phường Ngọc Lâm";"004"
"00136";"Phường Phúc Lợi";"004"
"00139";"Phường Bồ Đề";"004"
"00142";"Phường Sài Đồng";"004"
"00145";"Phường Long Biên";"004"
"00148";"Phường Thạch Bàn";"004"
"00151";"Phường Phúc Đồng";"004"
"00154";"Phường Cự Khối";"004"
"00157";"Phường Nghĩa Đô";"005"
"00160";"Phường Nghĩa Tân";"005"
"00163";"Phường Mai Dịch";"005"
"00166";"Phường Dịch Vọng";"005"
"00167";"Phường Dịch Vọng Hậu";"005"
"00169";"Phường Quan Hoa";"005"
"00172";"Phường Yên Hoà";"005"
"00175";"Phường Trung Hoà";"005"
"00178";"Phường Cát Linh";"006"
"00181";"Phường Văn Miếu";"006"
"00184";"Phường Quốc Tử Giám";"006"
"00187";"Phường Láng Thượng";"006"
"00190";"Phường Ô Chợ Dừa";"006"
"00193";"Phường Văn Chương";"006"
"00196";"Phường Hàng Bột";"006"
"00199";"Phường Láng Hạ";"006"
"00202";"Phường Khâm Thiên";"006"
"00205";"Phường Thổ Quan";"006"
"00208";"Phường Nam Đồng";"006"
"00211";"Phường Trung Phụng";"006"
"00214";"Phường Quang Trung";"006"
"00217";"Phường Trung Liệt";"006"
"00220";"Phường Phương Liên";"006"
"00223";"Phường Thịnh Quang";"006"
"00226";"Phường Trung Tự";"006"
"00229";"Phường Kim Liên";"006"
"00232";"Phường Phương Mai";"006"
"00235";"Phường Ngã Tư Sở";"006"
"00238";"Phường Khương Thượng";"006"
"00241";"Phường Nguyễn Du";"007"
"00244";"Phường Bạch Đằng";"007"
"00247";"Phường Phạm Đình Hổ";"007"
"00256";"Phường Lê Đại Hành";"007"
"00259";"Phường Đồng Nhân";"007"
"00262";"Phường Phố Huế";"007"
"00265";"Phường Đống Mác";"007"
"00268";"Phường Thanh Lương";"007"
"00271";"Phường Thanh Nhàn";"007"
"00274";"Phường Cầu Dền";"007"
"00277";"Phường Bách Khoa";"007"
"00280";"Phường Đồng Tâm";"007"
"00283";"Phường Vĩnh Tuy";"007"
"00286";"Phường Bạch Mai";"007"
"00289";"Phường Quỳnh Mai";"007"
"00292";"Phường Quỳnh Lôi";"007"
"00295";"Phường Minh Khai";"007"
"00298";"Phường Trương Định";"007"
"00301";"Phường Thanh Trì";"008"
"00304";"Phường Vĩnh Hưng";"008"
"00307";"Phường Định Công";"008"
"00310";"Phường Mai Động";"008"
"00313";"Phường Tương Mai";"008"
"00316";"Phường Đại Kim";"008"
"00319";"Phường Tân Mai";"008"
"00322";"Phường Hoàng Văn Thụ";"008"
"00325";"Phường Giáp Bát";"008"
"00328";"Phường Lĩnh Nam";"008"
"00331";"Phường Thịnh Liệt";"008"
"00334";"Phường Trần Phú";"008"
"00337";"Phường Hoàng Liệt";"008"
